name,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,Birth Date,DoB Source,DoB Source URL,Death Date,DoD (P570) Source,DoD Source URL,Marriage Date,P26+P2562 Source,P26+P2562 Source URL,Source for Dates,Place of Birth (P19),PoB Source,PoB Source URL,Place of Death,Place of Death Source,Place of Death Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,Source for Places,Occupation,Occupation Source,Occupation Source URL,Gender,LOD - WikiData,DoB Source LCCN,DoB Source Alt_LCCN,DoB Source OCLC,DoB Source Alt_OCLC,DoD (P570) Source LCCN,DoD (P570) Source Alt_LCCN,DoD (P570) Source OCLC,DoD (P570) Source Alt_OCLC,P26+P2562 Source LCCN,P26+P2562 Source Alt_LCCN,P26+P2562 Source OCLC,P26+P2562 Source Alt_OCLC,Source for Dates LCCN,Source for Dates Alt_LCCN,Source for Dates OCLC,Source for Dates Alt_OCLC,PoB Source LCCN,PoB Source Alt_LCCN,PoB Source OCLC,PoB Source Alt_OCLC,Place of Death Source LCCN,Place of Death Source Alt_LCCN,Place of Death Source OCLC,Place of Death Source Alt_OCLC,Place of Residence Source LCCN,Place of Residence Source Alt_LCCN,Place of Residence Source OCLC,Place of Residence Source Alt_OCLC,Source for Places LCCN,Source for Places Alt_LCCN,Source for Places OCLC,Source for Places Alt_OCLC,Occupation Source LCCN,Occupation Source Alt_LCCN,Occupation Source OCLC,Occupation Source Alt_OCLC
"Kalkar, Hendrik Van",Kalka; Kalkmar; Kakar; Kasper; Alkmar; Calcar,,Hendrick; Henrik; Heinrich; Henrick; Henrich; Heinrig,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kasdorp, Harmen",Kasdorph; Casdorp; Casdorph,,Herman; Harman; Hermann,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kassel, Gilles",Cassel; Casel; Kasel; Castle; Caasel; Kaasel,,Giles; Gyles; Gillis,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kassel, Johannes",Cassel; Casel; Kasel; Castle; Caasel; Kaasel,,Jan; Johan; John,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kate, Herman Ten",Köth; Koethe; Cate; Cote; ,,Harmen; Harman; Hermann,,,,,,,,,,,,,,,,,,,,,,,Grain dealer,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kauffman, David",Kaufman; Kaufmann; Coffman; Cauffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kauffman, Michael",Kaufman; Kaufmann; Coffman; Cauffman,,Michele,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kennerley, William",Kenerly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenyon, John, Judge",,,,,Judge,,,,,,,,,,,,,,,,,,,,,judge,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kerfoot, Walter",,,,,,c. 1743,,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,,,1764-03-01 00:00:00,,https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1,,,,,,,,"Warrington, England",,,,Lawyer,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Key, Leonard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Killam, Joan",,,,Aldam,,,,,1681-07-15 00:00:00,"England & Wales, Society Of Friends (Quaker) Burials 1578-1841",,,,,,,,,,,,"Balby, Yorkshire, England",The Journal of George Fox-Penney p. 461,https://archive.org/details/agv9012.0001.001.umich.edu/page/n3/mode/2up,,,,,Female,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Killam, John",,,,,,,,,,,,,,,,,,,,,,"Balby, Yorkshire, England",The Journal of George Fox-Penney p. 461,https://archive.org/details/agv9012.0001.001.umich.edu/page/n3/mode/2up,,,,,Male ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Killam, Thomas",,,,,,,,,,,,,,,,,,,,,,"Balby, Yorkshire, England",The Journal of George Fox-Penney p. 461,https://archive.org/details/agv9012.0001.001.umich.edu/page/n3/mode/2up,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King William Iii,,,,,King; Konig,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kinsey, John",Kinsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kintigh, Martin",Kintig; Kentig; Kintik; Kentik; Kentick; Kinteg,,Maartin,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirchner, Brigitta",,,,Doßer {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698}},,1664-10-16,,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698,,,,1694-02-13 00:00:00,,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698,,,,,,,,"Erfurt, Thuringia, Germany",,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirkbride, Phebe",,,Phoebe,Blackshaw,,,,,,,,,,,,"Cheshire, England",,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klein, Paul",,,Paul,,,1666-01-01 00:00:00,,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F41&dm=1&dokref=1&indx=%23F211%23&auft=Klein%2C+Paul,1740-06-11 00:00:00,,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F41&dm=1&dokref=1&indx=%23F211%23&auft=Klein%2C+Paul,,,,,,,,,,,,,,,Pastor,,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F41&dm=1&dokref=1&indx=%23F211%23&auft=Klein%2C+Paul,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knipe, John",Kniepe; Knipe,,,,"Burgermeister;
Burgomaster",,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knipe, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,n.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knopf, Daniel",Knoph; Knopff,,Daniele; Danielle,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolb, Dielman",Colb; Kolbe; Colbe,,Tielmann; Tealman; Tielman; Tealmann; Dielmann,,,1691-01-01 00:00:00,,,1756-01-01 00:00:00,,,,,,,"Wolfsheim, Germany",,,,,,"Salford, Pennsylvania; Mannheim, Germany",,,,Preacher,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolb, Martin",Colb; Kolbe; Colbe,,Maartin,,,1680-01-01 00:00:00,,,1761-01-01 00:00:00,,,,,,,"Wolfsheim, Germany",,,"Skippack, Pennsylvania",,,"Skippack, Pennsylvania",,,,Preacher,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolb, Pieter",Colb; Kolbe; Colbe,,Peter; Petter; Petrus; Peder,,,1671,,,1726/1727,,,,,,,"Wolfsheim, Germany",,,"Mannheim, Germany",,,"Kriegsheim, Germany",,,,Elder,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Komen, Jan Van",Comen; Cumin; Kumin; Kumen; Cumen; Comein; Komein,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kopps, Issac",Copps; Cops; Kops; Cups; Kups,,Isaac; Izaak; Izaac; Isaak; Issak; Izzak,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kosel, Heinrich",Cosel; Cossel; Kossel;Kusel; Cusel,,Hendrick; Henrik; Heinrig; Henrick; Henrich; Hendrik,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kramer, Johan",Kremer; Cramer; Cremer; Krimmer,,Johannes; Jan; John,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kreibel, Michel",Kribel; Krybel; Kreible; Kreuel; Kribeln; Krehbiel,,Michael; Michele,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kriekeboom, Albert",Kieboom; Kerkeboom; Kriegboom,,Aldert; Aelbert ,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kündich, Heinrich",Kintig; Kentig; Kintik; Kentik; Kentick; Kinteg; Kundich; Kunttig,,Hendrick; Henrik; Henrick; Henrich; Hendrik; Heinrig,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kundig, Heinrich",Kündig; Kundich; Kundick,,Hendrick; Henrik; Heinrig; Henrick; Henrich; Hendrik,,,,,,,,,,,,,,,,,,,"Grömbach, Germany",,,,Preacher,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurfürsten Herrn Commissarii,,,,,Kurfürsten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laithwait, James",Laithwaite; Letworth,,,,,1650/1651,,,,,,1683-01-01 00:00:00,,,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",,,,,,,"Knowsley, Lancashire, England",,,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",shoemaker,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Lambert, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landes, Heindrich",Landesz; Lande; Lanas; Landis,,Hendrick; Henrik; Heinrig; Henrick; Henrich; Hendrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lange, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lange, Rektor, Berlin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Langhorne, Grace",Langhorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Langhorne, Jeremiah",Langhorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lanoij, Jan De",l'Annoy; Lannoye; Lannoit; l'Annoit; Lannoy; Lanoy,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawrence, Benjamin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leach, John",,,Jon,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leaver, John",Lever; Leavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leaver, Robert",Lever; Leavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leaver, Thomas",Lever; Leavor; Laver,,,,Justice; Judge,,,,,,,,,,,,,,,,,,,,,justice; judge,https://www.google.com/books/edition/Friends_Miscellany/U8kYAAAAYAAJ?hl=en&gbpv=1&dq=longworth&pg=PA22&printsec=frontcover,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledbetter, William","Leadbetter; Leadbeater;
Leadbeatter",,,,,,,,,,,,,,,,,,,,,,,,16164,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Leendertz, Christiaan",Wilhite; Leenhouts; Leanderts,,Christian; Kristaan; Christe,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leendertz, Jan",Wilhite; Leenhouts; Leanderts,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leerar, Jonas",Lerar; Lerner; Leerer; Loheer,,Joonas; John; Junis; Yunis,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leerdan, Jacob Jacobs",Leerden; Leardan,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leeuw, Ameldonck",Leeu; Leu; Lou,,Ameldonk; Ameldonch,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leijen, Willem Van Der",Leyen; Linen; Leijs,,Wilem; William; Wiliam,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leijs, Jan Van Der",Leyen; Leijen; Linen,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leith, Joseph",Leth,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leith, William",Leth,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemme Guert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leutscher, Rudolf",Leuer; Lötscher; Latscha; Lachat; Latschaw; Lörsch,,Rudolph; Rolph; Rollo; Rolf; Roeloff,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leuvenig, Bartholemeus Von",Leuven; Louvain; Leuvenich; Leuvenigh; Loevenigh; Loevenich,,Bartholomew; Bartsolomusz; Mewes,,,1691-04-15 00:00:00,,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",1759-12-18 00:00:00,,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,,,,"Burtscheid, Germany",,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)","Amsterdam, Netherlands",,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)","Amsterdam, Netherlands",,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",,Pastor,,"https://gameo.org/index.php?title=Leuvenig,_Bartholemeus_van_(1691-1759)",Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leuvenig, Steven Van",Leuven; Louvain; Leuvenich; Leuvenigh; Loevenigh,,Stephen; Stevenus; Stephenus,,,,,,,,,,,,,,,,,,,"Amsterdam, Netherlands",,,,Deacon,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lewis, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lichti, Georg",Liechte; Liecht,,Jorge; George,,,,,,,,,,,,,,,,,,,"Kriegsheim, Germany; Grossbockenheim, Germany",,,,Preacher,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liebe, Christian",Liebher; Lieb,,Christiaan; Christe; Kristian,,,1679  [[Documents of Brotherly Love Volume III],,,1757  [[Documents of Brotherly Love Volume III],,,,,,,"Eppstein, Germany  [[Documents of Brotherly Love Volume III]",,,,,,"Rheinpfalz, Germany; Krefeld, Germany;  [[Documents of Brotherly Love Volume III]",,,,Preacher [[Documents of Brotherly Love Vol.III],,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lightbowne, John",Lightbourne; Lightbourn; Lightborne; Lightborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Limborch, Isaac Van",Limborsh; Lymborch; Lijmborch; Limborg; Limburg,,Isaak; Izaac; Izaak; Issak,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lingard, Edward",Lingaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lion, Edward",Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lloyd, David",,,,,,1656,,,1731-01-01 00:00:00,,,1697-01-01 00:00:00,,,,"Manafon, Montgomeryshire, Powys, Wales",,,,,,"Chester, Chester County, Pennsylvania",,,"Joseph S. Walton, ""David Lloyd,"" in Journal of Friends' Historical Society, Friends' Historical Society (Headley Brothers, 1906), 3-4: 49,
https://www.google.com/books/edition/The_Journal_of_the_Friends_Historical_So/7vQNAQAAIAAJ?hl=en&gbpv=1 .",lawyer; politician; clerk of court; judge,"Joseph S. Walton, ""David Lloyd,"" in Journal of Friends' Historical Society, Friends' Historical Society (Headley Brothers, 1906), 3-4: 49-51.",,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lloyd, Jane",,,,,,,,,,,,,,,,England,,,,,,"London, England",,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/140/,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lloyd, Thomas",,,,,Governor,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loar, Magdalena Van",Loer; Laer,,,,,,,,,,,,,,,,,,,,,"Emden, Germany","The history of the rise, increase, and progress, of the Christian people called Quakers: intermixed with several remarkable occurrences",,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lockington, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,leather seller,DAMS #16115,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Logan, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lomax, Joshua",Lomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Longworth, Margery",,,Marjory; Marjery; Marjorie; Margerie,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lord, Edward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lotsher, Johannes",Loetscher; Lötscher,,John; Jan; Johan,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lotsher, Mannuel",Loetscher; Lötscher,,Manuel; Emanuel; Emmanuel; Manu,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lowe, Albert",Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lowe, Robert",Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lowe, Samuel",Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lower, Mary",Fell,,,Fell,,c. 1647 (Bonnelyn Young Kunze. 1993. Margaret Fell and the Rise of Quakerism. Palgrave Macmillan.),,,c.1720,,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,1668-08-26 (Bonnelyn Young Kunze. 1993. Margaret Fell and the Rise of Quakerism. Palgrave Macmillan.),,,,"Swarthmoor Hall, Swarthmoor, England",,,,,,"Marsh Grange, Dalton-in-furness, England",,https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater,,,,,Female,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lubberts, Albert",Liutbert; Lubbers,,Aldert; Aelbert ,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ludolf, Hiob",,,Hiob von,,,1624-06-24,,,1704-04-08 00:00:00,,,,,,,"Erfurt, Thuringia, Germany",,,"Frankfurt am Main, Thuringia, Germany",,,,,,https://www.deutsche-biographie.de/sfz54662.html#ndbcontent,Orientalist; Philologist; Writer,https://www.deutsche-biographie.de/sfz54662.html#ndbcontent,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lushon, Hans",Lushin,,Hannes; Hanß,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lygaard, Oluf",,,,,,c.1691,,,1741-01-01 00:00:00,,,1720-01-01 00:00:00,,,https://old.maa.org/press/periodicals/convergence/e-g-ziegenbalg-s-danish-translation-of-euclid-s-elements-ziegenbalg-s-life-and-career,,,,"Copenhagen, Denmark",,,,,,,Missionary,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"M., L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madden, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maddock. Henry,,,,,,1642-11-27,,,,,,,,,https://www.maierassociates.com/Genie/gxmad080.html,"Nantwich, Cheshire, England",,,,,,,,,,joiner,Passenger List,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002421649.0,[],31148900.0,"['45441519', '1007354211']"
"Maertsz, Bouwen",Maerz; Martz; Mertz; Matz; Märtz,,Boudewijn; Bouden; Bouwes; Bauwen,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maile, Martin",Maul; Male,,Maartin; Martine,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mann, Edwarde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manney, Robert",,,,,"Captain;
Governor of Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Markgraaf, Secretary Of Carel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Markland, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marsden, Christopher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marsden, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marshall, Bridget",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marshall, James",Marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mason, Joseph",Macon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mason, Richard",Macon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massdon, Christopher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mather, Christopher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mather, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mather, Margery",,,Marjory; Marjery; Marjorie; Marjerie,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
